,source,category,target,value
0,Finishes,AcousticalCeilings,US,104
1,Finishes,AcousticalCeilings,CA,4
2,Finishes,AcousticalCeilings,CH,6
3,Finishes,AcousticalCeilings,FR,1
4,Finishes,AcousticalCeilings,GB,21
5,Finishes,AcousticalCeilings,SE,21
6,Steel,Aluminium,US,5
7,Thermal/Moisture_Prot.,BlanketInsulation,US,39
8,Thermal/Moisture_Prot.,BlanketInsulation,CA,31
9,Thermal/Moisture_Prot.,BlanketInsulation,BE,14
10,Thermal/Moisture_Prot.,BlanketInsulation,GB,43
11,Thermal/Moisture_Prot.,BlownInsulation,US,14
12,Thermal/Moisture_Prot.,BlownInsulation,BE,16
13,Thermal/Moisture_Prot.,BlownInsulation,IE,1
14,Thermal/Moisture_Prot.,BoardInsulation,US,63
15,Thermal/Moisture_Prot.,BoardInsulation,PT,2
16,Thermal/Moisture_Prot.,BoardInsulation,CA,45
17,Thermal/Moisture_Prot.,BoardInsulation,IT,48
18,Thermal/Moisture_Prot.,BoardInsulation,DE,4
19,Thermal/Moisture_Prot.,BoardInsulation,BE,14
20,Thermal/Moisture_Prot.,BoardInsulation,GB,4
21,Thermal/Moisture_Prot.,BoardInsulation,IE,7
22,Thermal/Moisture_Prot.,BoardInsulation,NO,2
23,Finishes,Carpet,US,300
24,Finishes,Carpet,CA,2
25,Finishes,Carpet,GB,12
26,Finishes,CeilingPanel,US,57
27,Finishes,CeilingPanel,CH,3
28,Finishes,CeilingPanel,GB,142
29,Steel,ColdFormedSteel,US,13
30,Steel,ColdFormedSteel,AU,1
31,Steel,ColdFormedSteel,IT,1
32,Steel,ColdFormedSteel,LU,1
33,Wood,CompositeLumber,US,1
34,Concrete,concrete,US,131
35,Concrete,FlowableFill,US,1144
36,Concrete,FlowableFill,CA,15
37,Thermal/Moisture_Prot.,FoamedInPlace,US,1
38,Openings,Glass,US,157
39,Openings,Glass,IN,72
40,Openings,Glass,DE,3
41,Openings,Glass,FR,20
42,Finishes,Gypsum,US,107
43,Finishes,Gypsum,GR,5
44,Finishes,Gypsum,TR,6
45,Finishes,Gypsum,IT,5
46,Finishes,Gypsum,FR,2
47,Finishes,Gypsum,BE,7
48,Finishes,Gypsum,GB,7
49,Finishes,Gypsum,IE,26
50,Steel,Hollow,GB,1
51,Steel,HotRolled,US,27
52,Steel,HotRolled,AU,2
53,Steel,HotRolled,MX,2
54,Steel,HotRolled,TR,6
55,Steel,HotRolled,IT,1
56,Steel,HotRolled,LU,2
57,Steel,HotRolled,GB,5
58,Thermal/Moisture_Prot.,Insulation,US,7
59,Thermal/Moisture_Prot.,Insulation,BR,1
60,Thermal/Moisture_Prot.,Insulation,IT,1
61,Thermal/Moisture_Prot.,Insulation,CZ,1
62,Thermal/Moisture_Prot.,Insulation,DE,1
63,Thermal/Moisture_Prot.,Insulation,BE,9
64,Thermal/Moisture_Prot.,Insulation,GB,9
65,Thermal/Moisture_Prot.,Insulation,SE,1
66,Wood,MassTimber,US,1
67,Wood,MassTimber,NZ,4
68,Wood,MassTimber,CA,8
69,Wood,MassTimber,IT,1
70,Wood,MassTimber,LV,1
71,Wood,MassTimber,RU,1
72,Openings,openings,US,4
73,Wood,PrefabricatedWood,US,1
74,Concrete,ReadyMix,US,36160
75,Concrete,ReadyMix,AU,18
76,Concrete,ReadyMix,NZ,618
77,Concrete,ReadyMix,MX,15
78,Concrete,ReadyMix,AE,21
79,Concrete,ReadyMix,EG,1
80,Concrete,ReadyMix,RO,2
81,Concrete,ReadyMix,CA,284
82,Concrete,ReadyMix,GG,3
83,Concrete,ReadyMix,GB,7
84,Concrete,ReadyMix,NO,1
85,Steel,RebarSteel,US,43
86,Steel,RebarSteel,BR,2
87,Steel,RebarSteel,MX,4
88,Steel,RebarSteel,AE,3
89,Steel,RebarSteel,OM,2
90,Steel,RebarSteel,QA,1
91,Steel,RebarSteel,TR,12
92,Steel,RebarSteel,ES,3
93,Steel,RebarSteel,CA,6
94,Steel,RebarSteel,IT,1
95,Steel,RebarSteel,FR,1
96,Steel,RebarSteel,LU,4
97,Steel,RebarSteel,GB,3
98,Steel,RebarSteel,BY,1
99,Steel,RebarSteel,FI,1
100,Wood,SheathingPanels,US,5
101,Wood,SheathingPanels,IT,11
102,Wood,SheathingPanels,IE,11
103,Wood,SheathingPanels,LV,1
104,Wood,SheathingPanels,NO,1
105,Concrete,Shotcrete,US,1184
106,Concrete,Shotcrete,MX,1
107,Concrete,Shotcrete,CA,17
108,Steel,StructuralSteelSections,US,5
109,Steel,StructuralSteelSections,AE,1
110,Data_Cabling,StructuredCabling,US,60
111,Data_Cabling,StructuredCabling,DE,409
112,Thermal/Moisture_Prot.,ThermalMoistureProtection,US,8
113,Wood,WoodFraming,US,1
114,Wood,WoodFraming,GB,1
115,Wood,WoodJoists,US,4
