source,category,target,value
Concrete,concrete,US,131
Concrete,FlowableFill,US,1144
Concrete,FlowableFill,CA,15
Concrete,Shotcrete,US,1184
Concrete,Shotcrete,MX,1
Concrete,Shotcrete,CA,17
Concrete,ReadyMix,US,36160
Concrete,ReadyMix,AU,18
Concrete,ReadyMix,NZ,618
Concrete,ReadyMix,MX,15
Concrete,ReadyMix,AE,21
Concrete,ReadyMix,EG,1
Concrete,ReadyMix,RO,2
Concrete,ReadyMix,CA,284
Concrete,ReadyMix,GG,3
Concrete,ReadyMix,GB,7
Concrete,ReadyMix,NO,1
Data_Cabling,StructuredCabling,US,60
Data_Cabling,StructuredCabling,DE,409
Finishes,AcousticalCeilings,US,104
Finishes,AcousticalCeilings,CA,4
Finishes,AcousticalCeilings,CH,6
Finishes,AcousticalCeilings,FR,1
Finishes,AcousticalCeilings,GB,21
Finishes,AcousticalCeilings,SE,21
Finishes,Carpet,US,300
Finishes,Carpet,CA,2
Finishes,Carpet,GB,12
Finishes,CeilingPanel,US,57
Finishes,CeilingPanel,CH,3
Finishes,CeilingPanel,GB,142
Finishes,Gypsum,US,107
Finishes,Gypsum,GR,5
Finishes,Gypsum,TR,6
Finishes,Gypsum,IT,5
Finishes,Gypsum,FR,2
Finishes,Gypsum,BE,7
Finishes,Gypsum,GB,7
Finishes,Gypsum,IE,26
Openings,Glass,US,157
Openings,Glass,IN,72
Openings,Glass,DE,3
Openings,Glass,FR,20
Openings,openings,US,4
Steel,Aluminium,US,5
Steel,ColdFormedSteel,US,13
Steel,ColdFormedSteel,AU,1
Steel,ColdFormedSteel,IT,1
Steel,ColdFormedSteel,LU,1
Steel,Hollow,GB,1
Steel,HotRolled,US,27
Steel,HotRolled,AU,2
Steel,HotRolled,MX,2
Steel,HotRolled,TR,6
Steel,HotRolled,IT,1
Steel,HotRolled,LU,2
Steel,HotRolled,GB,5
Steel,RebarSteel,US,43
Steel,RebarSteel,BR,2
Steel,RebarSteel,MX,4
Steel,RebarSteel,AE,3
Steel,RebarSteel,OM,2
Steel,RebarSteel,QA,1
Steel,RebarSteel,TR,12
Steel,RebarSteel,ES,3
Steel,RebarSteel,CA,6
Steel,RebarSteel,IT,1
Steel,RebarSteel,FR,1
Steel,RebarSteel,LU,4
Steel,RebarSteel,GB,3
Steel,RebarSteel,BY,1
Steel,RebarSteel,FI,1
Steel,StructuralSteelSections,US,5
Steel,StructuralSteelSections,AE,1
Thermal/Moisture_Prot.,BlanketInsulation,US,39
Thermal/Moisture_Prot.,BlanketInsulation,CA,31
Thermal/Moisture_Prot.,BlanketInsulation,BE,14
Thermal/Moisture_Prot.,BlanketInsulation,GB,43
Thermal/Moisture_Prot.,BlownInsulation,US,14
Thermal/Moisture_Prot.,BlownInsulation,BE,16
Thermal/Moisture_Prot.,BlownInsulation,IE,1
Thermal/Moisture_Prot.,BoardInsulation,US,63
Thermal/Moisture_Prot.,BoardInsulation,PT,2
Thermal/Moisture_Prot.,BoardInsulation,CA,45
Thermal/Moisture_Prot.,BoardInsulation,IT,48
Thermal/Moisture_Prot.,BoardInsulation,DE,4
Thermal/Moisture_Prot.,BoardInsulation,BE,14
Thermal/Moisture_Prot.,BoardInsulation,GB,4
Thermal/Moisture_Prot.,BoardInsulation,IE,7
Thermal/Moisture_Prot.,BoardInsulation,NO,2
Thermal/Moisture_Prot.,FoamedInPlace,US,1
Thermal/Moisture_Prot.,Insulation,US,7
Thermal/Moisture_Prot.,Insulation,BR,1
Thermal/Moisture_Prot.,Insulation,IT,1
Thermal/Moisture_Prot.,Insulation,CZ,1
Thermal/Moisture_Prot.,Insulation,DE,1
Thermal/Moisture_Prot.,Insulation,BE,9
Thermal/Moisture_Prot.,Insulation,GB,9
Thermal/Moisture_Prot.,Insulation,SE,1
Thermal/Moisture_Prot.,ThermalMoistureProtection,US,8
Wood,CompositeLumber,US,1
Wood,MassTimber,US,1
Wood,MassTimber,NZ,4
Wood,MassTimber,CA,8
Wood,MassTimber,IT,1
Wood,MassTimber,LV,1
Wood,MassTimber,RU,1
Wood,PrefabricatedWood,US,1
Wood,SheathingPanels,US,5
Wood,SheathingPanels,IT,11
Wood,SheathingPanels,IE,11
Wood,SheathingPanels,LV,1
Wood,SheathingPanels,NO,1
Wood,WoodFraming,US,1
Wood,WoodFraming,GB,1
Wood,WoodJoists,US,4
